open,high,low,close,volume,20_day_SMA,200_day_SMA,consecutive_up,consecutive_down,price_change
185.32001,185.53,182.44,184.14999,54630500,189.3565,183.34015,0,3,-0.89
185.77,186.21001,183.50999,185.03999,56529500,189.283,183.2678,0,2,-2.11
188.42,188.67,186.78999,187.14999,41781900,189.2125,183.18465,0,1,-1.70002
188.64999,189.99001,188.0,188.85001,45155200,189.151,183.0677,1,0,0.53
189.39,189.53999,187.35001,188.32001,40962000,188.988,182.9423,0,1,-1.08999
190.64,191.05,188.61,189.41,53439000,188.8815,182.82735,3,0,0.11
186.86,189.31,186.77,189.3,43490800,188.668,182.7054,2,0,1.62001
188.14999,189.25,185.84,187.67999,69668800,188.481,182.59215,1,0,1.82998
179.86,187.33,179.25,185.85001,102518000,188.156,182.4919,0,1,-1.00999
183.99001,186.95,183.82001,186.86,64885400,187.959,182.395,1,0,2.46001
187.03999,187.10001,184.35001,184.39999,55467800,187.8285,182.28685,0,6,-3.64
190.94,191.8,187.47,188.03999,55859400,187.8905,182.1909,0,5,-3.69001
192.00999,192.2,189.58,191.73,47145600,188.115,182.0785,0,4,-0.69
194.27,194.75999,191.94,192.42,44594000,188.2075,181.92035,0,3,-1.75
195.22,196.27,193.11,194.17,54822100,188.244,181.76225,0,2,-0.33
195.42,196.38,194.34,194.5,53631300,188.188,181.60155,0,1,-0.67999
195.02,195.75,193.83,195.17999,42355600,188.143,181.45235,4,0,1.28999
192.3,195.33,192.25999,193.89,60133900,188.118,181.29525,3,0,2.33
189.33,191.95,188.82001,191.56,68741000,188.165,181.15395,2,0,2.93
186.09,189.14,185.83,188.63,78005800,188.434,181.027,1,0,5.95001
181.27,182.92999,180.3,182.67999,47317400,188.797,180.90835,0,2,-0.95001
182.16,184.25999,180.92999,183.63,65603000,189.5415,180.80675,0,1,-2.29
186.06,186.74001,185.19,185.92,40444700,190.2655,180.69245,1,0,0.33
186.53999,187.05,183.62,185.59,49128400,190.8675,180.5511,0,1,-0.6
184.35001,186.39999,183.92,186.19,46792900,191.3235,180.41455,1,0,1.05
183.92,185.14999,182.73,185.14,42841800,191.673,180.28485,0,1,-0.42
182.09,185.60001,181.5,185.56,59144500,192.2015,180.1538,1,0,4.38001
181.99001,182.75999,180.17,181.17999,62303300,192.637,180.01515,0,5,-0.73001
182.14999,183.09,180.88,181.91,71983600,193.194,179.90565,0,4,-2.34
184.22,185.88,183.42999,184.25,58414500,193.7695,179.7831,0,3,-1.39
187.14999,188.44,183.89,185.64,82488700,194.0285,179.63685,0,2,-6.89
193.89999,194.39999,191.73,192.53,42628800,194.3085,179.4879,0,1,-1.05
194.14,194.66,193.17,193.58,34049900,194.1795,179.2902,2,0,0.43001
192.49001,193.5,191.09,193.14999,48087700,193.969,179.08525,1,0,0.09999
193.61,193.89,192.83,193.05,28919300,193.8315,178.87185,0,4,-0.55001
195.17999,195.41,192.97,193.60001,37122800,193.6685,178.6491,0,3,-1.07998
196.10001,197.08,193.5,194.67999,46482500,193.487,178.43405,0,2,-0.15001
196.89999,197.67999,194.83,194.83,52242800,193.3185,178.225,0,1,-2.11
196.16,196.95,195.89,196.94,40714100,193.109,178.00885,1,0,1.05
196.09,196.63,194.39,195.89,55751900,192.8345,177.7933,0,2,-1.68001
197.53,198.39999,197.0,197.57001,128256700,192.5245,177.569,0,1,-0.53999
198.02,199.62,196.16,198.11,66831600,192.1315,177.3107,3,0,0.14999
195.09,198.0,194.85001,197.96001,70404200,191.6265,177.0467,2,0,3.25
193.08,194.72,191.72,194.71001,52696900,191.1005,176.79395,1,0,1.53002
193.11,193.49001,191.42,193.17999,60943700,190.605,176.56,0,1,-2.53002
194.2,195.99001,193.67,195.71001,53377300,190.266,176.32765,2,0,1.44001
193.63,195.0,193.59,194.27,47477700,189.601,176.0961,1,0,1.94999
194.45,194.75999,192.11,192.32001,41089700,189.032,175.8693,0,1,-1.09999
190.21001,194.39999,190.17999,193.42,66628400,188.507,175.6501,1,0,3.99001
189.98,190.05,187.45,189.42999,43389500,187.7975,175.44575,0,1,-1.81002
190.33,191.56,189.23,191.24001,45679300,187.1585,175.26715,2,0,1.29001
189.84,190.32001,188.19,189.95,48794400,186.475,175.0876,1,0,0.58
190.89999,192.09,188.97,189.37,43014200,185.676,174.90385,0,1,-1.02999
189.78,191.08,189.39999,190.39999,38415400,184.746,174.72625,1,0,0.61
189.92,190.67,188.89999,189.78999,40552600,183.7405,174.5293,0,2,-0.18001
190.87,190.89999,189.25,189.97,24048300,182.662,174.3347,0,1,-1.34
191.49001,192.92999,190.83,191.31,39617700,181.508,174.14445,1,0,0.67
191.41,191.52,189.74001,190.64,38134500,180.4975,173.96115,0,1,-0.81
189.89,191.91,189.88,191.45,46505100,179.6375,173.7666,1,0,1.76
190.25,190.38,188.57001,189.69,50922700,178.715,173.58185,0,1,-0.02001
189.57001,190.96001,188.64999,189.71001,54412900,177.8745,173.3875,3,0,1.70002
187.85001,189.5,187.78,188.00999,53790500,177.162,173.1661,2,0,0.56999
187.7,188.11,186.3,187.44,60108400,176.5535,172.9475,1,0,2.64
185.82001,186.03,184.21001,184.8,43627500,176.039,172.7253,0,1,-1.59999
183.97,186.57001,183.53,186.39999,66133400,175.735,172.53095,1,0,3.98999
182.96001,184.12,181.81,182.41,53763500,175.3575,172.31875,0,1,-0.48
182.35001,183.45,181.59,182.89,49340300,175.2725,172.116,3,0,1.06999
179.17999,182.44,178.97,181.82001,70530000,175.118,171.9142,2,0,2.59001
176.38,179.42999,176.21001,179.23,63841300,174.9465,171.71065,1,0,2.58001
174.24001,176.82001,173.35001,176.64999,79763700,174.9345,171.50385,0,1,-0.92002
175.52,177.78,175.46001,177.57001,77334800,174.9765,171.29695,5,0,3.60001
171.0,174.23,170.12,173.97,56934900,174.8435,171.08515,4,0,3.2
169.35001,170.89999,167.89999,170.77,44846000,174.828,170.895,3,0,0.48001
169.02,171.17,168.87,170.28999,51131000,174.9095,170.71495,2,0,2.06999
166.91,168.96001,166.83,168.22,58499100,175.0825,170.53055,1,0,1.33
170.37,171.38,165.67,166.89,70625300,175.232,170.3569,0,2,-4.21001
171.88,173.06,170.64999,171.10001,57157000,175.422,170.1761,0,1,-2.33999
173.05,173.67,171.45,173.44,43816600,175.3885,169.97135,2,0,0.44
170.91,174.00999,169.92999,173.0,55980100,175.3145,169.75225,1,0,0.12
175.31,175.42,172.64,172.88,64189300,175.4685,169.51235,0,6,-2.58001
176.03999,177.84,175.19,175.46001,59302900,175.564,169.27975,0,5,-0.37999
175.58,177.58,175.11,175.84,54764400,175.4875,169.0278,0,4,-1.30999
176.64999,178.42,174.8,177.14999,57549400,175.47,168.79825,0,3,-1.57001
176.75,179.08,176.50999,178.72,52517000,175.566,168.56055,0,2,-0.13001
181.42,181.92999,178.14,178.85001,51427100,175.5285,168.29715,0,1,-1.86
180.07001,182.34,179.03999,180.71001,56743100,175.3365,168.05305,2,0,0.91001
178.2,179.85001,177.60001,179.8,47551100,175.088,167.8088,1,0,1.41
178.10001,179.72,177.95,178.39,43698000,174.8085,167.57095,0,1,-0.60001
176.81,179.05,175.8,178.99001,42390800,174.704,167.35625,4,0,1.5
173.8,177.99001,173.17999,177.49001,57224100,174.7225,167.1228,3,0,2.58001
173.78999,175.45,172.67999,174.91,48527900,174.757,166.8972,2,0,1.25
171.09,174.21001,170.97,173.66,53020300,174.8895,166.6952,1,0,1.26001
